,LAT_016,LONG_017,lat,long,elevation
7471,32042496,84142536,32.067,-84.234,396.98
7472,31554087,84155238,31.918,-84.251,331.36
7473,31583702,84181155,31.968,-84.3,377.3
7474,31583079,84110186,31.968,-84.183,318.24
7475,32015185,84184879,32.018,-84.301,423.23
7476,32002422,84133597,32.001,-84.218,364.17
7477,32091868,84093466,32.151,-84.151,423.23
7478,32080477,84194749,32.133,-84.318,442.91
7479,32080682,84194458,32.134,-84.318,452.76
7480,32023525,84125295,32.034,-84.201,387.14
7481,32112864,84050999,32.184,-84.084,331.36
7482,32041524,84173649,32.067,-84.284,419.95
7483,31565870,84163392,31.935,-84.268,331.36
7484,32070609,84180363,32.117,-84.3,364.17
7485,32093106,84172043,32.151,-84.284,406.82
7486,31582820,84243780,31.967,-84.401,456.04
7487,31594142,84223572,31.984,-84.368,446.19
7488,32000831,84194029,32.0,-84.318,439.63
7489,32003394,84183301,32.001,-84.301,423.23
7490,32035853,84133975,32.052,-84.218,390.42
7491,32044584,84140250,32.068,-84.233,419.95
7492,32070660,84134483,32.117,-84.218,475.72
7493,32070739,84123412,32.117,-84.201,459.32
7494,32020564,83593289,32.033,-83.984,259.19
7495,32032455,84001551,32.051,-84.0,311.68
7496,32050132,84153142,32.083,-84.251,400.26
7497,32015552,84030770,32.018,-84.05,308.4
7498,32031123,84055654,32.05,-84.085,344.49
7499,32035702,84255329,32.052,-84.418,449.48
7500,31554155,84155292,31.918,-84.251,331.36
7501,31582343,84145391,31.967,-84.235,295.28
7502,31582384,84145460,31.967,-84.235,295.28
7503,32034057,84150957,32.051,-84.25,429.79
7504,32110992,84080326,32.184,-84.133,387.14
7505,32103990,84080405,32.168,-84.133,439.63
7506,32353109,84331825,32.584,-84.551,531.5
7507,32415204,84255782,32.685,-84.418,593.83
7508,32441575,84363654,32.734,-84.601,643.04
7509,32453531,84335320,32.751,-84.551,629.92
7510,32475708,84301141,32.785,-84.5,672.57
7511,32314166,84341264,32.518,-84.567,541.34
7512,32341254,84340004,32.567,-84.567,538.06
7513,32443303,84331969,32.734,-84.551,567.59
7514,32472335,84361994,32.784,-84.601,751.31
7515,32503566,84403792,32.834,-84.668,856.3
7516,32405296,84351827,32.668,-84.584,692.26
7517,32441406,84213081,32.734,-84.351,482.28
7518,32443958,84223428,32.734,-84.368,439.63
7519,32412752,84322270,32.684,-84.534,692.26
7520,32460663,84322954,32.767,-84.534,672.57
7521,32481609,84273834,32.8,-84.451,544.62
7522,32491207,84353393,32.817,-84.584,761.15
7523,32480507,84373183,32.8,-84.618,682.41
7524,32435278,84353253,32.718,-84.584,626.64
7525,32461732,84350855,32.767,-84.584,659.45
7526,32411971,84362768,32.684,-84.601,629.92
